index,match_id,duration,first_blood_time,radiant_win,region
0,7723956234,1843,0,True,3
1,7723925265,1782,74,False,5
2,7723923401,2054,71,False,3
3,7723905806,2066,40,False,3
4,7723895005,1804,169,False,3
5,7723879292,1411,69,True,5
6,7723874904,1444,143,False,3
7,7723863928,1922,10,False,3
8,7723858794,2067,0,False,3
9,7723847486,2069,350,True,3
10,7723824243,2108,332,True,3
11,7723817166,2478,188,True,3
12,7723808402,1548,271,False,3
13,7723799474,2102,43,True,3
14,7723788168,1518,253,True,3
15,7723779300,2300,135,True,3
16,7723772079,1542,311,True,3
17,7723752158,1788,72,False,3
18,7723748278,1344,51,False,3
19,7723743282,1380,295,False,3
20,7723741803,2638,104,False,3
21,7723733668,1045,38,True,5
22,7723723566,2667,76,False,5
23,7723713607,1634,113,True,3
24,7723705468,2434,140,False,3
25,7723703601,1528,8,True,5
26,7723701641,1878,185,False,3
27,7723681145,2029,0,True,5
28,7723679463,1415,403,False,3
29,7723672106,1299,76,True,5
30,7723670279,1768,428,True,3
31,7723666843,2184,21,False,3
32,7723647688,1380,187,True,3
33,7723639814,1788,168,False,3
34,7723634921,2156,33,False,3
35,7723629386,2538,131,False,5
36,7723618958,1470,368,False,3
37,7723611932,1862,185,True,3
38,7723600365,2026,149,False,3
39,7723586867,1572,409,True,3
40,7723586410,1786,261,True,3
41,7723572370,1705,111,False,3
42,7723548711,1466,267,True,3
43,7723502036,1274,241,True,3
44,7723470302,2334,164,False,3
45,7723432380,3080,51,False,3
46,7723400876,2045,158,False,3
47,7723370320,1714,83,False,3
48,7723331909,2090,93,False,3
49,7723264905,1947,382,False,3
50,7723216836,1793,203,True,3
51,7723212451,1938,309,True,3
52,7723123992,2373,69,True,3
53,7723027238,1907,232,True,3
54,7722903998,635,0,False,8
55,7722866797,1486,0,True,3
56,7722833713,1829,6,True,8
57,7722793232,1418,4,False,8
58,7722758772,2443,60,False,8
59,7722738889,1800,179,True,8
60,7722731033,2112,223,False,8
61,7722662542,2713,0,True,8
62,7722607536,2153,177,False,3
63,7722587421,2163,164,True,8
64,7722586628,1830,122,False,8
65,7722581129,2207,141,False,8
66,7722579033,1351,82,False,8
67,7722489116,1886,219,True,8
68,7722485873,2360,24,False,3
69,7722477872,652,135,False,8
70,7722469133,1129,0,True,8
71,7722464280,1304,40,True,8
72,7722461575,1669,152,False,8
73,7722389755,1245,0,False,8
74,7722365590,1699,101,False,8
75,7722349605,1939,0,True,8
76,7722342359,2367,52,True,3
77,7722303279,2630,119,True,5
78,7722274605,1102,0,False,8
79,7722203426,1288,68,True,5
80,7722180646,2838,0,False,8
81,7722160733,3953,126,False,5
82,7722153221,1933,0,True,3
83,7722150003,1370,177,False,5
84,7722117542,1657,10,False,8
85,7722078738,1784,107,False,5
86,7722056348,2278,144,False,3
87,7722052406,1536,101,True,3
88,7721988614,1334,0,False,8
89,7721973956,2533,0,True,5
90,7721973005,2407,118,False,3
91,7721917973,1881,73,True,8
92,7721914409,1390,237,False,3
93,7721914141,1262,57,False,5
94,7721876502,1054,90,True,5
95,7721858189,3450,0,True,5
96,7721857522,1983,77,False,3
97,7721828297,1221,6,True,5
98,7721813317,1650,120,False,3
99,7721761880,1678,118,True,3
100,7721755460,3247,0,False,5
101,7721721938,1532,251,False,3
102,7721685845,1521,170,False,3
103,7721644389,1728,263,True,3
104,7721563087,2744,147,True,3
105,7721534574,1745,86,False,3
106,7721499828,2033,204,True,3
107,7721435116,2218,170,False,3
108,7721375601,2277,106,False,3
109,7721346065,1954,0,False,3
110,7721304091,2483,221,False,3
111,7721240731,1770,67,True,3
112,7721240371,2994,162,True,3
113,7721109330,2334,269,False,3
114,7720960645,3006,290,False,3
115,7720878142,1755,20,False,3
116,7720834814,1397,8,False,8
117,7720731784,1887,0,True,8
118,7720722801,2643,132,True,3
119,7720560089,2735,337,False,3
120,7720503806,2263,0,False,8
121,7720460165,1994,0,True,3
122,7720422093,1292,0,True,8
123,7720332990,2527,72,True,3
124,7720283661,1227,0,False,3
125,7720196768,2179,109,True,3
126,7720190073,1847,15,True,3
127,7720169390,1297,395,False,5
128,7720121830,1247,0,False,5
129,7720095995,1537,55,True,3
130,7720078894,1259,2,False,5
131,7720067650,2723,107,False,3
132,7720011769,2268,5,False,3
133,7719969870,1513,84,True,5
134,7719918203,1780,274,False,5
135,7719865554,2223,0,False,17
136,7719865298,1811,101,False,5
137,7719804333,2059,0,True,17
138,7719579896,2314,241,True,3
139,7719552368,1728,5,False,3
140,7719517409,2092,115,False,3
141,7719481996,1802,0,False,3
142,7719434727,1812,242,True,3
143,7719375522,1944,41,False,3
144,7719320585,1656,82,True,3
145,7719016310,1605,168,False,8
146,7719000972,1925,0,False,3
147,7718940502,1471,112,True,8
148,7718926458,1650,0,True,3
149,7718902878,1734,52,False,3
150,7718869441,1170,81,False,8
151,7718858925,1514,126,True,3
152,7718778415,1932,250,False,3
153,7718777204,1955,9,True,8
154,7718769719,1800,81,True,3
155,7718741675,1883,76,True,8
156,7718708208,1270,22,False,8
157,7718699658,1514,181,False,3
158,7718614277,1647,254,False,3
159,7718607336,2288,204,True,3
160,7718569520,2144,3,False,8
161,7718545087,1618,298,True,3
162,7718483797,2981,0,True,3
163,7718482667,1511,115,True,3
164,7718478375,2365,0,True,3
165,7718465384,2191,218,True,8
166,7718412889,2109,131,False,3
167,7718374515,1664,38,True,5
168,7718372266,2777,0,True,3
169,7718353339,2536,91,False,5
170,7718333951,1464,237,True,3
171,7718329488,1582,11,True,8
172,7718317955,3049,165,False,3
173,7718304511,2025,107,True,3
174,7718293253,1275,51,False,3
175,7718286875,2175,54,False,3
176,7718266959,3067,6,True,5
177,7718249895,1480,0,False,3
178,7718249783,3081,5,True,8
179,7718191684,2231,135,False,5
180,7718181044,1772,104,True,3
181,7718176256,1711,227,False,5
182,7718170917,1824,164,True,3
183,7718167781,3311,0,True,8
184,7718155306,1686,239,False,3
185,7718136009,1361,112,True,3
186,7718127308,1829,172,True,5
187,7718118108,1381,214,False,5
188,7718116753,1673,234,True,3
189,7718109166,1177,104,False,5
190,7718099215,1585,0,True,3
191,7718089766,2069,131,False,3
192,7718078088,1796,350,False,3
193,7718076676,1234,57,False,5
194,7718072423,1557,125,True,5
195,7718058072,1778,0,True,3
196,7718045003,2008,138,False,3
197,7718040519,1944,261,False,3
198,7718021044,1909,93,False,5
199,7718020047,2038,101,False,3
200,7718009592,1929,86,False,3
201,7718008889,1735,234,True,3
202,7717983327,1991,8,True,3
203,7717980614,1766,493,True,3
204,7717978704,1548,318,False,3
205,7717944337,1837,345,False,3
206,7717870995,1820,120,False,3
207,7717846183,1633,132,False,3
208,7717821441,1626,56,False,3
209,7717794851,1772,203,True,3
210,7717767588,1740,125,True,3
211,7717732938,1831,228,True,3
212,7717693287,1787,410,True,3
213,7717656178,1686,54,True,3
214,7717607009,1951,274,True,3
215,7717574951,1847,215,True,3
216,7717481930,2086,367,False,3
217,7717369079,2228,251,True,3
218,7717352079,1847,100,True,3
219,7717317517,1656,151,False,8
220,7717277018,1592,116,False,3
221,7717209834,2645,2,True,8
222,7717196941,1888,140,False,3
223,7717120872,1400,113,True,8
224,7717035183,1616,35,True,3
225,7716979372,2696,105,True,8
226,7716934124,1738,545,True,3
227,7716909071,1435,232,True,8
228,7716869143,1593,271,True,3
